gagename,event_id,eventdatastart_edt,eventdataend_edt,eventduration_hr,eventpeakintensity_inhr,eventavgintensity_inhr,eventdepth_in
7,88,2021-07-01T16:00:00Z,2021-07-02T08:15:00Z,16.5,1.56,0.0788,1.3
7,89,2021-07-02T20:15:00Z,2021-07-03T00:30:00Z,4.5,1.32,0.3689,1.6600000000000001
7,90,2021-07-03T17:15:00Z,2021-07-04T00:30:00Z,7.5,0.12,0.0187,0.14
7,91,2021-07-09T03:15:00Z,2021-07-09T10:15:00Z,7.25,0.4,0.1076,0.78
7,92,2021-07-12T18:00:00Z,2021-07-12T22:45:00Z,5,1.4,0.268,1.34
7,93,2021-07-17T23:45:00Z,2021-07-18T10:30:00Z,11,1.48,0.1236,1.36
7,94,2021-07-21T19:45:00Z,2021-07-21T23:45:00Z,4.25,1.36,0.1341,0.5700000000000001
7,95,2021-08-01T17:15:00Z,2021-08-02T05:15:00Z,12.25,0.12,0.0098,0.12
7,96,2021-08-08T04:15:00Z,2021-08-08T09:00:00Z,5,0.52,0.14,0.7
7,97,2021-08-09T22:00:00Z,2021-08-09T22:30:00Z,0.75,0.96,0.5067,0.38
7,98,2021-08-11T01:00:00Z,2021-08-11T02:30:00Z,1.75,0.96,0.2114,0.37
7,99,2021-08-19T00:45:00Z,2021-08-19T07:45:00Z,7.25,1.276,0.1383,1.003
7,100,2021-08-20T12:15:00Z,2021-08-20T16:00:00Z,4,0.06,0.027,0.108
7,101,2021-08-21T21:15:00Z,2021-08-22T13:15:00Z,16.25,0.316,0.0751,1.22
7,102,2021-08-23T04:15:00Z,2021-08-23T21:15:00Z,17.25,0.28,0.0275,0.47400000000000003
7,103,2021-08-27T17:15:00Z,2021-08-27T19:30:00Z,2.5,0.52,0.0792,0.198
7,104,2021-08-28T07:30:00Z,2021-08-28T18:30:00Z,11.25,0.532,0.0484,0.545
7,105,2021-09-01T09:00:00Z,2021-09-01T12:00:00Z,3.25,0.628,0.1317,0.428
7,106,2021-09-01T19:45:00Z,2021-09-02T03:45:00Z,8.25,2.004,0.343,2.83
7,107,2021-09-09T05:00:00Z,2021-09-09T18:00:00Z,13.25,0.188,0.0232,0.307
7,108,2021-09-16T02:15:00Z,2021-09-16T05:15:00Z,3.25,0.316,0.1043,0.339
7,109,2021-09-23T16:00:00Z,2021-09-24T03:30:00Z,11.75,2.844,0.1293,1.519
7,110,2021-10-05T05:30:00Z,2021-10-05T09:00:00Z,3.75,0.852,0.1797,0.674
7,111,2021-10-10T05:00:00Z,2021-10-10T21:15:00Z,16.5,0.072,0.007,0.11599999999999999
7,112,2021-10-16T20:30:00Z,2021-10-17T01:30:00Z,5.25,0.308,0.0625,0.328
7,113,2021-10-25T23:45:00Z,2021-10-26T10:45:00Z,11.25,1.72,0.1618,1.82
7,114,2021-10-29T21:30:00Z,2021-10-30T07:30:00Z,10.25,0.6,0.1093,1.1199999999999999
7,115,2021-10-31T04:00:00Z,2021-10-31T10:15:00Z,6.5,0.92,0.0431,0.28
7,116,2021-11-12T12:15:00Z,2021-11-12T16:00:00Z,4,0.32,0.0375,0.15
