"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"52","411-1-1","CS1",128,7,7.5,0.08,0.044,0.33,"2022-01-20 07:45:00","2022-01-20 15:00:00",1.4316,"FALSE",-810,0
"53","411-1-1","CS1",129,7,37.75,1.32,0.0429,1.62,"2022-02-03 09:15:00","2022-02-04 22:45:00",1.9202,"FALSE",2.25,26.9928
"54","411-1-1","CS1",130,7,5.75,0.08,0.0452,0.26,"2022-02-13 15:30:00","2022-02-13 21:00:00",1.1948,"FALSE",-810,0.8961
"55","411-1-1","CS1",131,7,8.75,0.12,0.0274,0.24,"2022-02-18 02:45:00","2022-02-18 11:15:00",1.4402,"FALSE",1,9.3844
"56","411-1-1","CS1",132,7,6.25,0.12,0.024,0.15,"2022-02-22 18:15:00","2022-02-23 00:15:00",1.2033,"FALSE",-810,0.079
"57","411-1-1","CS1",133,7,16.25,0.28,0.0566,0.92,"2022-02-25 04:15:00","2022-02-25 20:15:00",2.2892,"FALSE",1,39.2575
"58","411-1-1","CS1",134,7,9.25,0.12,0.0411,0.38,"2022-03-09 13:45:00","2022-03-09 22:45:00",1.4713,"FALSE",4.5,5.1275
"59","411-1-1","CS1",135,7,7.25,0.24,0.0745,0.54,"2022-03-12 11:15:00","2022-03-12 18:15:00",1.2459,"FALSE",-810,0
"60","411-1-1","CS1",136,7,2.75,0.12,0.0509,0.14,"2022-03-17 09:45:00","2022-03-17 12:15:00",1.1248,"FALSE",-810,0.0512
"61","411-1-1","CS1",137,7,0.5,0.52,0.3,0.15,"2022-03-20 00:15:00","2022-03-20 00:30:00",1.0302,"FALSE",-810,0
"62","411-1-1","CS1",138,7,11.25,0.24,0.0524,0.59,"2022-03-24 00:30:00","2022-03-24 11:30:00",1.8584,"FALSE",0.75,20.1882
"63","411-1-1","CS1",139,7,3,0.2,0.0533,0.16,"2022-03-25 00:15:00","2022-03-25 03:00:00",1.1245,"FALSE",-810,0
"64","411-1-1","CS1",140,7,10.25,0.52,0.0332,0.34,"2022-03-31 23:15:00","2022-04-01 09:15:00",1.1286,"FALSE",-810,0.6619
"65","411-1-1","CS1",141,7,14.5,0.28,0.0717,1.04,"2022-04-05 23:00:00","2022-04-06 13:15:00",2.1138,"FALSE",0.75,34.5772
"66","411-1-1","CS1",142,7,15,0.96,0.1147,1.72,"2022-04-07 12:45:00","2022-04-08 03:30:00",4.0235,"TRUE",-820,100
"67","411-1-1","CS1",143,7,8.5,0.16,0.0235,0.2,"2022-04-09 03:45:00","2022-04-09 12:00:00",1.1207,"FALSE",-810,0
"68","411-1-1","CS1",144,7,0.75,0.28,0.2,0.15,"2022-04-14 20:30:00","2022-04-14 21:00:00",1.0573,"FALSE",-810,0
"69","411-1-1","CS1",145,7,4.75,0.24,0.0463,0.22,"2022-04-16 23:00:00","2022-04-17 03:30:00",1.1549,"FALSE",-810,0
"70","411-1-1","CS1",146,7,11.5,0.36,0.1191,1.37,"2022-04-18 19:15:00","2022-04-19 06:30:00",2.493,"FALSE",2.25,39.3792
"71","411-1-1","CS1",147,7,4.75,0.16,0.0253,0.12,"2022-05-02 06:45:00","2022-05-02 11:15:00",1.1244,"FALSE",-810,0
"72","411-1-1","CS1",148,7,6.25,0.16,0.0272,0.17,"2022-05-04 05:45:00","2022-05-04 11:45:00",1.1315,"FALSE",-810,0.2851
"73","411-1-1","CS1",149,7,44.75,0.24,0.044,1.97,"2022-05-06 13:00:00","2022-05-08 09:30:00",1.7117,"FALSE",1.75,24.0803
